id,max_quality,cost,capital,pur,price,period,lag_price,lag_qv,lag_pur,lag_capital,diff_price,diff_qv,diff_pur,diff_capital
0,22.0,14.0,1727.58,419,15.0,2,63.36,11.0,0.0,921.26,-48.36,11.0,419.0,806.3199999999999
1,21.0,13.0,1502.69,54,14.0,2,88.43,32.0,16.0,879.8900000000001,-74.43,-11.0,38.0,622.8
2,8.0,79.46,678.36,0,80.46,2,37.42,16.0,0.0,709.81,43.03999999999999,-8.0,0.0,-31.449999999999932
3,17.0,104.92,897.27,0,105.92,2,35.31,26.0,0.0,978.39,70.61,-9.0,0.0,-81.12
4,18.0,0.05,2212.28,315,1.05,2,85.55,31.0,1.0,1162.23,-84.5,-13.0,314.0,1050.0500000000002
5,7.0,86.54,344.59,0,87.54,2,103.0,14.0,0.0,294.8,-15.459999999999994,-7.0,0.0,49.789999999999964
6,11.0,96.74,420.24,0,97.74,2,59.59,22.0,0.0,799.48,38.14999999999999,-11.0,0.0,-379.24
7,12.0,47.74,845.58,0,48.74,2,23.25,12.0,0.0,859.54,25.490000000000002,0.0,0.0,-13.959999999999923
8,14.0,79.5,955.74,0,80.5,2,25.67,22.0,0.0,1095.59,54.83,-8.0,0.0,-139.8499999999999
9,6.0,28.31,1001.5,0,29.31,2,93.86,24.0,0.0,786.0,-64.55,-18.0,0.0,215.5
10,18.0,81.61,766.2,0,82.61,2,32.42,16.0,0.0,888.01,50.19,2.0,0.0,-121.80999999999995
11,28.0,36.0,1729.7,572,37.0,2,84.44,11.0,0.0,1066.68,-47.44,17.0,572.0,663.02
12,13.0,90.93,670.76,0,91.93,2,72.06,26.0,0.0,1264.09,19.870000000000005,-13.0,0.0,-593.3299999999999
13,4.0,72.61,846.73,0,73.61,2,47.81,24.0,0.0,1140.6,25.799999999999997,-20.0,0.0,-293.8699999999999
14,7.0,17.24,573.5,0,18.24,2,83.92,25.0,0.0,902.83,-65.68,-18.0,0.0,-329.33000000000004
15,4.0,67.65,970.88,0,68.65,2,31.65,6.0,0.0,786.15,37.00000000000001,-2.0,0.0,184.73000000000002
16,26.0,92.01,622.5,0,93.01,2,48.38,21.0,0.0,807.65,44.63,5.0,0.0,-185.14999999999998
17,13.0,13.17,1091.47,0,14.17,2,67.21,26.0,0.0,1003.49,-53.03999999999999,-13.0,0.0,87.98000000000002
18,23.0,81.31,570.88,0,82.31,2,25.74,22.0,0.0,723.05,56.57000000000001,1.0,0.0,-152.16999999999996
19,23.0,86.87,823.11,0,87.87,2,75.19,16.0,0.0,1240.34,12.680000000000007,7.0,0.0,-417.2299999999999
20,27.0,23.52,3275.73,564,24.52,2,83.1,24.0,0.0,777.31,-58.58,3.0,564.0,2498.42
21,10.0,39.21,1210.94,0,40.21,2,59.43,1.0,0.0,1306.54,-19.22,9.0,0.0,-95.59999999999991
22,2.0,31.79,822.28,0,32.79,2,48.91,29.0,257.0,1619.97,-16.119999999999997,-27.0,-257.0,-797.69
23,24.0,22.46,730.45,63,23.46,2,53.52,20.0,0.0,1316.92,-30.060000000000002,4.0,63.0,-586.47
24,22.0,21.46,555.95,0,22.46,2,68.66,7.0,0.0,1025.99,-46.199999999999996,15.0,0.0,-470.03999999999996
25,27.0,47.98,1570.34,0,48.98,2,22.3,18.0,0.0,670.84,26.679999999999996,9.0,0.0,899.4999999999999
26,30.0,90.91,1136.2,0,91.91,2,34.92,2.0,0.0,959.69,56.989999999999995,28.0,0.0,176.51
27,11.0,14.62,742.61,0,15.62,2,28.11,27.0,0.0,899.33,-12.49,-16.0,0.0,-156.72000000000003
28,21.0,59.19,688.9,0,60.19,2,5.45,16.0,0.0,1308.58,54.739999999999995,5.0,0.0,-619.68
29,12.0,104.92,130.28,0,105.92,2,3.68,20.0,0.0,1448.69,102.24,-8.0,0.0,-1318.41
30,22.0,98.81,710.64,0,99.81,2,76.68,4.0,0.0,751.15,23.129999999999995,18.0,0.0,-40.50999999999999
31,25.0,39.59,968.39,0,40.59,2,98.69,20.0,0.0,988.26,-58.099999999999994,5.0,0.0,-19.870000000000005
32,14.0,38.22,684.17,0,39.22,2,3.45,20.0,721.0,2041.63,35.769999999999996,-6.0,-721.0,-1357.46
33,35.0,89.45,888.39,13,90.45,2,98.65,15.0,0.0,600.6,-8.200000000000003,20.0,13.0,287.78999999999996
34,15.0,68.43,850.76,0,69.43,2,47.47,9.0,0.0,899.89,21.960000000000008,6.0,0.0,-49.129999999999995
35,23.0,35.05,984.99,0,36.05,2,84.26,16.0,0.0,1013.61,-48.21000000000001,7.0,0.0,-28.620000000000005
36,15.0,41.21,761.48,0,42.21,2,29.04,3.0,0.0,1125.92,13.170000000000002,12.0,0.0,-364.44000000000005
37,21.0,44.94,1273.55,0,45.94,2,69.66,18.0,0.0,828.3,-23.72,3.0,0.0,445.25
38,20.0,68.4,1216.27,0,69.4,2,81.97,9.0,0.0,466.38,-12.569999999999993,11.0,0.0,749.89
39,18.0,43.64,1090.86,0,44.64,2,86.36,10.0,0.0,756.74,-41.72,8.0,0.0,334.1199999999999
40,25.0,81.52,837.89,0,82.52,2,42.6,26.0,0.0,1157.7,39.919999999999995,-1.0,0.0,-319.81000000000006
41,3.0,30.39,783.32,0,31.39,2,22.48,27.0,991.0,2799.56,8.91,-24.0,-991.0,-2016.2399999999998
